Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;
Casa de Condomínio;Ramos;2;2;0;65;1000.0;;
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0
Apartamento;Olaria;3;1;0;68;1000.0;670.0;
Conjunto Comercial/Sala;São Cristóvão;0;1;0;25;1100.0;600.0;
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;700.0;;
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0
Conjunto Comercial/Sala;Méier;0;0;0;32;700.0;380.0;56.0
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;33;700.0;1010.0;56.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;850.0;719.0;
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0
Quitinete;Centro;0;0;0;30;800.0;505.0;
Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0
Quitinete;Flamengo;0;0;0;28;1000.0;581.0;53.0
Apartamento;Praça Seca;2;0;0;80;1000.0;;
Apartamento;Olaria;2;1;0;53;1100.0;160.0;
Conjunto Comercial/Sala;Largo do Machado;0;0;0;30;800.0;592.0;162.0
Conjunto Comercial/Sala;Centro;0;0;0;55;900.0;1240.0;240.0
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;490.0;450.0;525.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;20;445.0;791.0;1041.0
Apartamento;Praça Seca;2;0;0;80;900.0;350.0;
Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0
Conjunto Comercial/Sala;Campo Grande;0;0;0;20;800.0;;
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;28;800.0;550.0;
Apartamento;Rocha Miranda;2;1;0;50;1100.0;;
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;500.0;600.0;85.0
Conjunto Comercial/Sala;Centro;0;0;0;35;1000.0;322.0;33.0
Conjunto Comercial/Sala;Tijuca;0;1;0;20;1000.0;690.0;58.0
Quitinete;Catete;0;0;0;20;700.0;500.0;28.0
Apartamento;Méier;2;0;0;56;899.0;402.0;135.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;24;700.0;628.0;1120.0
Conjunto Comercial/Sala;Tijuca;0;0;0;21;1000.0;520.0;116.0
Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0
Box/Garagem;Tijuca;0;0;0;0;380.0;;
Quitinete;Centro;0;0;0;28;700.0;400.0;16.0
Conjunto Comercial/Sala;Tijuca;0;1;0;32;900.0;450.0;
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;24;650.0;530.0;170.0
Casa;Lins de Vasconcelos;2;0;0;40;950.0;;50.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;25;1000.0;450.0;
Apartamento;Cidade Nova;1;0;0;46;1000.0;;
Loja/Salão;Barra da Tijuca;0;1;0;50;1100.0;1338.0;
Quitinete;Copacabana;1;0;0;23;1000.0;562.0;
Apartamento;Olaria;1;0;0;39;800.0;;
Apartamento;Campo Grande;2;0;0;60;800.0;380.0;
Apartamento;Taquara;2;2;0;55;790.0;350.0;
Quitinete;Centro;1;0;0;33;990.0;463.0;25.0
Apartamento;Tomás Coelho;2;0;0;70;800.0;;
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0
Apartamento;Água Santa;2;1;0;50;850.0;280.0;12.0
Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;
Apartamento;Olaria;2;0;0;90;1000.0;150.0;
Casa de Vila;Oswaldo Cruz;1;0;1;40;800.0;;
Conjunto Comercial/Sala;Leblon;0;0;0;6;900.0;;
Conjunto Comercial/Sala;Centro;0;0;0;34;1000.0;729.0;
Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;23;900.0;500.0;
Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0
Conjunto Comercial/Sala;Centro;0;0;0;22;800.0;264.0;83.0
Apartamento;Anil;2;1;0;48;1100.0;400.0;
Loja/Salão;Vila Valqueire;0;0;0;30;1100.0;;
Apartamento;Cachambi;3;0;0;70;900.0;200.0;30.0
Box/Garagem;Centro;0;1;0;0;250.0;;85.0
Apartamento;Cachambi;2;1;0;70;950.0;530.0;30.0
Conjunto Comercial/Sala;Centro;0;0;0;24;600.0;386.0;119.0
Apartamento;Maracanã;1;1;1;120;1000.0;985.0;150.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;750.0;399.0;52.0
Apartamento;Vaz Lobo;2;0;0;70;1000.0;32.0;
Conjunto Comercial/Sala;São Cristóvão;1;1;0;25;800.0;427.0;471.0
Apartamento;Madureira;2;0;0;40;600.0;415.0;
Casa;Bonsucesso;2;0;0;51;1000.0;;
Apartamento;Campo Grande;2;0;1;58;1000.0;;
Apartamento;Praça Seca;3;0;0;90;900.0;330.0;15.0
Conjunto Comercial/Sala;Tijuca;0;0;0;29;800.0;1100.0;
Apartamento;Pechincha;2;1;0;64;800.0;248.0;14.0
Conjunto Comercial/Sala;Campo Grande;0;1;0;21;500.0;570.0;
Casa;Engenho Novo;2;0;0;70;1100.0;;
Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;
Apartamento;Irajá;2;1;0;65;1100.0;255.0;
Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;800.0;870.0;
Quitinete;Copacabana;1;0;0;15;1100.0;600.0;
Casa de Vila;Quintino Bocaiúva;2;1;0;48;750.0;;
Apartamento;Méier;2;1;0;62;1000.0;600.0;38.0
Loja/Salão;Taquara;0;0;0;15;600.0;;
Conjunto Comercial/Sala;Copacabana;0;0;0;25;1000.0;434.0;101.0
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;23;1000.0;680.0;
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;28;900.0;560.0;185.0
Quitinete;Glória;1;0;1;26;850.0;321.0;29.0
Apartamento;Taquara;2;1;0;53;1100.0;450.0;150.0
Apartamento;Penha;2;0;0;64;950.0;180.0;
Quitinete;Gardênia Azul;1;0;0;20;485.0;;
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;21;700.0;350.0;
Conjunto Comercial/Sala;Jacarepaguá;0;1;0;25;990.0;570.0;
Conjunto Comercial/Sala;Flamengo;0;0;0;15;850.0;622.0;165.0
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;2;0;25;800.0;364.0;172.0
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;21;800.0;306.0;56.0
Loja/Salão;Santa Cruz;0;0;0;42;1000.0;;
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;24;800.0;400.0;90.0
Conjunto Comercial/Sala;Centro;0;0;0;42;700.0;515.0;83.0
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;1050.0;580.0;36.0
Box/Garagem;Centro;0;1;0;0;100.0;;
Apartamento;Vargem Pequena;2;1;1;80;1100.0;650.0;
Apartamento;Quintino Bocaiúva;2;0;0;67;900.0;320.0;
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;45;1100.0;1000.0;1.0
Apartamento;Leme;1;0;0;31;1140.0;420.0;24.0
Apartamento;Inhaúma;3;1;0;60;750.0;236.0;
Apartamento;Pechincha;2;1;0;65;950.0;640.0;126.0
Conjunto Comercial/Sala;Campo Grande;0;1;0;20;700.0;273.0;75.0
Conjunto Comercial/Sala;Campo Grande;0;1;0;25;1000.0;550.0;
Apartamento;Marechal Hermes;2;1;0;70;850.0;200.0;
Apartamento;Grajaú;1;0;0;30;800.0;283.0;187.0
Apartamento;Praça Seca;2;1;1;63;1100.0;361.0;
Apartamento;Botafogo;1;0;0;17;1100.0;330.0;15.0
Apartamento;Piedade;2;1;0;83;950.0;;13.0
Apartamento;Méier;1;0;0;53;900.0;484.0;37.0
Conjunto Comercial/Sala;Méier;0;0;0;25;600.0;580.0;
Casa;Vila da Penha;1;0;0;40;850.0;;
Quitinete;Centro;1;0;1;15;750.0;;
Apartamento;Curicica;1;1;0;45;700.0;356.0;126.0
Loja/Salão;Copacabana;0;1;0;26;700.0;1004.0;170.0
Casa;Vaz Lobo;1;0;0;35;400.0;;
Conjunto Comercial/Sala;Del Castilho;0;1;0;29;1000.0;638.0;
Casa de Condomínio;Santíssimo;2;1;0;70;800.0;200.0;
Apartamento;Méier;1;0;0;50;1000.0;390.0;16.0
Apartamento;Andaraí;1;0;1;30;1100.0;580.0;
Apartamento;Pechincha;2;1;0;52;700.0;420.0;35.0
Apartamento;Freguesia (Jacarepaguá);2;1;0;55;1000.0;390.0;36.0
