Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Glória;1;0;0;28;1500.0;250.0;
Loft;Barra da Tijuca;1;1;0;50;2634.0;1326.0;240.0
Apartamento;Ipanema;1;0;1;46;1800.0;936.0;86.0
Apartamento;Ipanema;1;0;1;48;2100.0;540.0;81.0
Apartamento;Centro;1;0;1;38;1150.0;400.0;25.0
Apartamento;Recreio dos Bandeirantes;1;1;1;45;1500.0;1200.0;440.0
Apartamento;Botafogo;1;1;0;65;2200.0;679.0;27.0
Apartamento;Copacabana;1;0;1;39;1800.0;600.0;
Apartamento;Santa Teresa;1;0;0;21;800.0;312.0;15.0
Apartamento;Copacabana;1;0;0;36;2200.0;590.0;
Apartamento;Ipanema;1;0;0;50;2100.0;630.0;
Apartamento;Barra da Tijuca;1;1;1;69;1900.0;1007.0;159.0
Quitinete;Copacabana;1;0;0;28;1500.0;450.0;
Apartamento;Colégio;1;0;0;58;950.0;;
Apartamento;Rocha Miranda;1;0;0;33;750.0;;
Apartamento;Botafogo;1;0;0;53;1600.0;770.0;70.0
Quitinete;Copacabana;1;0;0;15;800.0;305.0;24.0
Apartamento;Copacabana;1;0;1;50;2500.0;516.0;25.0
Apartamento;Centro;1;0;0;35;1000.0;300.0;
Apartamento;Guadalupe;1;0;0;60;700.0;;
Apartamento;Campo Grande;1;1;0;46;650.0;250.0;
Apartamento;Copacabana;1;0;0;30;1300.0;400.0;25.0
Quitinete;Glória;1;0;0;20;850.0;495.0;
Apartamento;Catete;1;0;0;37;1300.0;360.0;24.0
Apartamento;Copacabana;1;0;0;45;1600.0;420.0;72.0
Apartamento;Copacabana;1;0;0;40;2000.0;617.0;24.0
Apartamento;Botafogo;1;0;0;40;1800.0;350.0;
Flat;Ipanema;1;1;1;43;2500.0;2117.0;304.0
Apartamento;Vila Isabel;1;1;1;50;1050.0;450.0;
Apartamento;Barra da Tijuca;1;1;0;80;5000.0;1100.0;200.0
Apartamento;Leme;1;0;1;90;3500.0;550.0;
Apartamento;Tijuca;1;0;0;34;1400.0;251.0;24.0
Apartamento;Laranjeiras;1;1;0;57;1800.0;694.0;94.0
Apartamento;Fátima;1;0;0;50;1100.0;558.0;20.0
Apartamento;Higienópolis;1;0;0;55;750.0;120.0;
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0
Apartamento;Santa Teresa;1;1;0;49;1150.0;570.0;28.0
Flat;Barra da Tijuca;1;1;1;35;6000.0;;
Apartamento;Copacabana;1;0;0;40;1400.0;539.0;
Flat;Botafogo;1;1;1;50;2900.0;1150.0;100.0
Apartamento;Andaraí;1;0;0;30;1550.0;403.0;92.0
Apartamento;Benfica;1;0;0;15;350.0;;
Conjunto Comercial/Sala;Barra da Tijuca;1;1;0;36;1300.0;900.0;
Apartamento;Tijuca;1;0;0;42;1500.0;150.0;226.0
Quitinete;Copacabana;1;0;0;30;1600.0;550.0;71.0
Loja/Salão;Barra da Tijuca;1;3;0;165;6900.0;1200.0;1850.0
Apartamento;Glória;1;0;0;42;1500.0;400.0;24.0
Apartamento;Humaitá;1;1;0;60;2100.0;750.0;127.0
Apartamento;Leblon;1;0;0;90;7500.0;1400.0;
Apartamento;Barra da Tijuca;1;1;0;50;1900.0;1200.0;300.0
Apartamento;Flamengo;1;0;0;36;1600.0;387.0;55.0
Apartamento;Gávea;1;0;0;40;1950.0;492.0;
Apartamento;Botafogo;1;1;0;59;2500.0;654.0;
Flat;Barra da Tijuca;1;1;0;60;3200.0;1900.0;320.0
Apartamento;Barra da Tijuca;1;1;0;68;1650.0;900.0;180.0
Quitinete;Centro;1;0;0;40;1100.0;500.0;
Apartamento;Copacabana;1;0;0;25;2000.0;;
Apartamento;Flamengo;1;0;0;50;1800.0;525.0;45.0
Apartamento;Ipanema;1;0;1;33;1800.0;565.0;
Apartamento;Copacabana;1;0;0;30;1200.0;500.0;200.0
Apartamento;Barra da Tijuca;1;1;1;85;2300.0;1009.0;
Flat;Ipanema;1;1;1;52;3000.0;2386.0;312.0
Apartamento;Copacabana;1;0;0;30;2000.0;420.0;80.0
Apartamento;Copacabana;1;0;0;35;1100.0;400.0;55.0
Quitinete;Botafogo;1;0;0;30;2100.0;366.0;250.0
Apartamento;Tijuca;1;0;0;40;1100.0;350.0;50.0
Apartamento;Ipanema;1;0;0;58;2500.0;477.0;144.0
Quitinete;Botafogo;1;0;0;25;1000.0;440.0;25.0
Apartamento;Copacabana;1;0;0;32;1400.0;580.0;60.0
Quitinete;Centro;1;0;0;26;1500.0;490.0;
Quitinete;Centro;1;0;0;34;1000.0;415.0;
Apartamento;Barra da Tijuca;1;1;1;52;5000.0;2660.0;380.0
Apartamento;Vila Isabel;1;1;0;52;1200.0;468.0;26.0
Apartamento;Guadalupe;1;0;0;30;450.0;;
Apartamento;Glória;1;0;0;34;1100.0;275.0;14.0
Apartamento;Higienópolis;1;0;1;45;800.0;120.0;31.0
